,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
99,20000.0,100.0,1.0,112.8125,0.0,0.0
100,20000.0,25.0,2.0,107.75,0.0,0.0
101,20000.0,50.0,2.0,121.5,0.0,0.0
102,20000.0,75.0,2.0,134.125,0.0,0.0
103,20000.0,100.0,2.0,146.875,0.0,0.0
104,20000.0,25.0,3.0,143.4375,0.0,0.0
105,20000.0,50.0,3.0,130.9375,0.0,0.0
106,20000.0,75.0,3.0,131.375,0.0,0.0
107,20000.0,100.0,3.0,109.9375,0.0,0.0
108,10000.0,25.0,1.0,145.6875,0.0,0.0
109,10000.0,50.0,1.0,121.3125,0.0,0.0625
110,10000.0,75.0,1.0,96.1875,0.0,0.0
111,10000.0,100.0,1.0,136.375,0.0,0.0
112,10000.0,25.0,2.0,156.1875,0.0,0.0
113,10000.0,50.0,2.0,161.1875,0.0,0.0
114,10000.0,75.0,2.0,100.125,0.0,0.0
115,10000.0,100.0,2.0,140.8125,0.0,0.0
116,10000.0,25.0,3.0,125.3125,0.0,0.0
117,10000.0,50.0,3.0,90.4375,0.0,0.0
118,10000.0,75.0,3.0,99.0625,0.0,0.0
119,10000.0,100.0,3.0,135.625,0.0,0.0
120,15000.0,25.0,1.0,137.875,0.0,0.0
121,15000.0,50.0,1.0,120.625,0.0,0.0
122,15000.0,75.0,1.0,127.875,0.0,0.0
123,15000.0,100.0,1.0,113.25,0.0,0.0
124,15000.0,25.0,2.0,102.8125,0.0,0.0
125,15000.0,50.0,2.0,137.5625,0.0,0.0
126,15000.0,75.0,2.0,135.5,0.0,0.0
127,15000.0,100.0,2.0,130.125,0.0,0.0
128,15000.0,25.0,3.0,130.375,0.0,0.0
129,15000.0,50.0,3.0,122.125,0.0,0.0
130,15000.0,75.0,3.0,111.0,0.0,0.0
131,15000.0,100.0,3.0,117.4375,0.0,0.0
132,20000.0,25.0,1.0,138.625,0.0,0.0
133,20000.0,50.0,1.0,135.75,0.0,0.0
134,20000.0,75.0,1.0,146.625,0.0,0.0
135,20000.0,100.0,1.0,157.6875,0.0,0.0
136,20000.0,25.0,2.0,127.8125,0.0,0.0
137,20000.0,50.0,2.0,113.9375,0.0,0.0
138,20000.0,75.0,2.0,140.0,0.0,0.0
139,20000.0,100.0,2.0,118.8125,0.0,0.0
140,20000.0,25.0,3.0,121.3125,0.0,0.0
141,20000.0,50.0,3.0,100.5,0.0,0.0
142,20000.0,75.0,3.0,120.0,0.0,0.0
143,20000.0,100.0,3.0,150.375,0.0,0.0
144,10000.0,25.0,1.0,101.25,0.0,0.0
145,10000.0,50.0,1.0,106.0,0.0,0.0
146,10000.0,75.0,1.0,152.1875,0.0,0.0
147,10000.0,100.0,1.0,116.1875,0.0,0.0
148,10000.0,25.0,2.0,97.75,0.0,0.0
149,10000.0,50.0,2.0,154.625,0.0,0.0
150,10000.0,75.0,2.0,131.0625,0.0,0.0
151,10000.0,100.0,2.0,148.0,0.0,0.0
152,10000.0,25.0,3.0,113.25,0.0,0.0
153,10000.0,50.0,3.0,123.25,0.0,0.0
154,10000.0,75.0,3.0,151.5,0.0,0.0
155,10000.0,100.0,3.0,104.5625,0.0,0.0
