,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
89,15000.0,50.0,2.0,150.4375,0.0,0.0
90,15000.0,75.0,2.0,133.3125,0.0,0.0
91,15000.0,100.0,2.0,121.6875,0.0,0.0
92,15000.0,25.0,3.0,119.4375,0.0,0.0
93,15000.0,50.0,3.0,161.9375,0.0,0.0
94,15000.0,75.0,3.0,110.375,0.0,0.0625
95,15000.0,100.0,3.0,130.125,0.0,0.0
96,20000.0,25.0,1.0,155.6875,0.0,0.0
97,20000.0,50.0,1.0,145.625,0.0,0.0
98,20000.0,75.0,1.0,118.5625,0.0,0.0
99,20000.0,100.0,1.0,122.9375,0.0,0.0
100,20000.0,25.0,2.0,106.6875,0.0,0.0
101,20000.0,50.0,2.0,117.125,0.0,0.0
102,20000.0,75.0,2.0,145.75,0.0,0.0
103,20000.0,100.0,2.0,129.75,0.0,0.0
104,20000.0,25.0,3.0,123.4375,0.0,0.0
105,20000.0,50.0,3.0,90.0,0.0,0.0
106,20000.0,75.0,3.0,124.5625,0.0,0.0
107,20000.0,100.0,3.0,123.875,0.0,0.0
108,10000.0,25.0,1.0,120.0625,0.0,0.0
109,10000.0,50.0,1.0,149.0625,0.0,0.0
110,10000.0,75.0,1.0,107.9375,0.0,0.0
111,10000.0,100.0,1.0,119.0,0.0,0.0
112,10000.0,25.0,2.0,110.125,0.0,0.0
113,10000.0,50.0,2.0,117.3125,0.0,0.125
114,10000.0,75.0,2.0,160.625,0.0,0.0
115,10000.0,100.0,2.0,134.875,0.0,0.0
116,10000.0,25.0,3.0,107.375,0.0,0.0
117,10000.0,50.0,3.0,133.0,0.0,0.0
118,10000.0,75.0,3.0,116.25,0.0,0.0
119,10000.0,100.0,3.0,129.1875,0.0,0.0
120,15000.0,25.0,1.0,126.625,0.0,0.0
121,15000.0,50.0,1.0,108.0,0.0,0.0
122,15000.0,75.0,1.0,109.3125,0.0,0.0625
123,15000.0,100.0,1.0,119.4375,0.0,0.0
124,15000.0,25.0,2.0,112.75,0.0,0.0
125,15000.0,50.0,2.0,123.9375,0.0,0.0
126,15000.0,75.0,2.0,127.375,0.0,0.0
127,15000.0,100.0,2.0,162.875,0.0,0.0
128,15000.0,25.0,3.0,157.5625,0.0,0.0
129,15000.0,50.0,3.0,128.75,0.0,0.0
130,15000.0,75.0,3.0,131.3125,0.0,0.0
131,15000.0,100.0,3.0,103.5,0.0,0.0
132,20000.0,25.0,1.0,102.8125,0.0,0.0
133,20000.0,50.0,1.0,115.375,0.0,0.0
134,20000.0,75.0,1.0,125.75,0.0,0.0
135,20000.0,100.0,1.0,131.625,0.0,0.0
136,20000.0,25.0,2.0,126.0,0.0,0.0
137,20000.0,50.0,2.0,124.9375,0.0,0.0
138,20000.0,75.0,2.0,146.5625,0.0,0.0
139,20000.0,100.0,2.0,115.625,0.0,0.0
140,20000.0,25.0,3.0,127.6875,0.0,0.0
141,20000.0,50.0,3.0,138.625,0.0,0.0
142,20000.0,75.0,3.0,122.375,0.0,0.0625
143,20000.0,100.0,3.0,132.375,0.0,0.0
144,10000.0,25.0,1.0,106.375,0.0,0.0
145,10000.0,50.0,1.0,115.0,0.0,0.0
146,10000.0,75.0,1.0,139.25,0.0,0.0
147,10000.0,100.0,1.0,117.6875,0.0,0.0
148,10000.0,25.0,2.0,130.9375,0.0,0.0
149,10000.0,50.0,2.0,133.8125,0.0,0.0
150,10000.0,75.0,2.0,159.0625,0.0,0.0
151,10000.0,100.0,2.0,124.4375,0.0,0.0
152,10000.0,25.0,3.0,134.125,0.0,0.0
153,10000.0,50.0,3.0,128.3125,0.0,0.0
154,10000.0,75.0,3.0,121.5625,0.0,0.0
155,10000.0,100.0,3.0,141.25,0.0,0.0
156,15000.0,25.0,1.0,97.4375,0.0,0.0
157,15000.0,50.0,1.0,126.1875,0.0,0.0
158,15000.0,75.0,1.0,113.0,0.0,0.0
159,15000.0,100.0,1.0,140.8125,0.0,0.0
160,15000.0,25.0,2.0,150.1875,0.0,0.0
161,15000.0,50.0,2.0,100.375,0.0,0.0
162,15000.0,75.0,2.0,97.9375,0.0,0.0
163,15000.0,100.0,2.0,140.8125,0.0,0.0
164,15000.0,25.0,3.0,134.625,0.0,0.0
165,15000.0,50.0,3.0,177.0625,0.0,0.0
166,15000.0,75.0,3.0,80.75,0.0,0.0
167,15000.0,100.0,3.0,117.6875,0.0,0.0625
168,20000.0,25.0,1.0,113.8125,0.0,0.0
169,20000.0,50.0,1.0,101.8125,0.0,0.0
170,20000.0,75.0,1.0,98.375,0.0,0.0
171,20000.0,100.0,1.0,129.25,0.0,0.0
172,20000.0,25.0,2.0,110.4375,0.0,0.0
173,20000.0,50.0,2.0,120.4375,0.0,0.0
174,20000.0,75.0,2.0,188.625,0.0,0.0
175,20000.0,100.0,2.0,110.3125,0.0,0.0
176,20000.0,25.0,3.0,123.75,0.0,0.0
177,20000.0,50.0,3.0,126.75,0.0,0.0
178,20000.0,75.0,3.0,177.1875,0.0,0.0
179,20000.0,100.0,3.0,133.75,0.0,0.0
180,10000.0,25.0,1.0,127.75,0.0,0.0
181,10000.0,50.0,1.0,133.8125,0.0,0.0
182,10000.0,75.0,1.0,130.125,0.0,0.0
183,10000.0,100.0,1.0,89.125,0.0,0.0
184,10000.0,25.0,2.0,97.5625,0.0,0.0
185,10000.0,50.0,2.0,143.125,0.0,0.0
186,10000.0,75.0,2.0,125.875,0.0,0.0
187,10000.0,100.0,2.0,86.0625,0.0,0.0
188,10000.0,25.0,3.0,104.1875,0.0,0.0
189,10000.0,50.0,3.0,117.9375,0.0,0.0
190,10000.0,75.0,3.0,129.5625,0.0,0.0
191,10000.0,100.0,3.0,149.3125,0.0,0.0
192,15000.0,25.0,1.0,139.5625,0.0,0.0
193,15000.0,50.0,1.0,141.125,0.0,0.0
194,15000.0,75.0,1.0,141.0,0.0,0.0
195,15000.0,100.0,1.0,151.6875,0.0,0.0
196,15000.0,25.0,2.0,121.9375,0.0,0.0
197,15000.0,50.0,2.0,129.125,0.0,0.0
198,15000.0,75.0,2.0,137.5,0.0,0.0
199,15000.0,100.0,2.0,123.0,0.0,0.0
200,15000.0,25.0,3.0,152.5625,0.0,0.0
201,15000.0,50.0,3.0,129.125,0.0,0.0
